""	"CustomerID"	"FMT_ID"	"Litter"	"Sex"	"Group_old"	"GroupID"	"Group"	"NEC"	"NEC_max"	"NEC_severity"
"17119-05-01-243200068"	"0"	"400"	"1"	"m"	"CON4"	"CON4_1"	"CON"	0	3	2.33333333333333
"17119-05-02-243200066"	"1"	"401"	"1"	"m"	"CON4"	"CON4_2"	"CON"	1	6	6
"17119-05-03-243200095"	"2"	"402"	"1"	"m"	"NEW4"	"NEW4_1"	"FMT1"	1	5	3.33333333333333
"17119-05-04-243200101"	"3"	"403"	"1"	"f"	"CON4"	"CON4_3"	"CON"	0	3	1.66666666666667
"17119-05-05-243200087"	"4"	"404"	"1"	"f"	"OLD4"	"OLD4_1"	"FMT2"	0	1	1
"17119-05-06-243200069"	"5"	"405"	"1"	"f"	"NEW4"	"NEW4_2"	"FMT1"	0	1	1
"17119-05-07-243200099"	"6"	"406"	"1"	"f"	"CON4"	"CON4_4"	"CON"	0	2	1.66666666666667
"17119-05-08-243200071"	"7"	"407"	"1"	"m"	"OLD4"	"OLD4_2"	"FMT2"	0	2	1.33333333333333
"17119-05-09-243200070"	"8"	"408"	"1"	"f"	"NEW4"	"NEW4_3"	"FMT1"	0	1	1
"17119-05-10-243200096"	"9"	"409"	"1"	"f"	"CON4"	"CON4_5"	"CON"	0	2	1.33333333333333
"17119-05-11-243200091"	"10"	"410"	"1"	"f"	"OLD4"	"OLD4_3"	"FMT2"	0	2	1.66666666666667
"17119-05-12-243200081"	"11"	"411"	"1"	"f"	"NEW4"	"NEW4_4"	"FMT1"	0	2	1.33333333333333
"17119-05-13-243200076"	"12"	"412"	"1"	"m"	"CON4"	"CON4_6"	"CON"	1	5	4
"17119-05-14-243200089"	"13"	"413"	"1"	"f"	"OLD4"	"OLD4_4"	"FMT2"	0	1	1
"17119-05-15-243200093"	"14"	"414"	"1"	"m"	"NEW4"	"NEW4_5"	"FMT1"	0	1	1
"17119-05-16-243200072"	"15"	"415"	"1"	"m"	"CON4"	"CON4_7"	"CON"	1	6	4.33333333333333
"17119-05-17-243200086"	"16"	"416"	"1"	"m"	"OLD4"	"OLD4_5"	"FMT2"	0	1	1
"17119-05-18-243200100"	"17"	"417"	"1"	"m"	"NEW4"	"NEW4_6"	"FMT1"	1	5	3.33333333333333
"17119-05-19-243200062"	"18"	"418"	"1"	"m"	"OLD4"	"OLD4_6"	"FMT2"	0	2	1.66666666666667
"17119-05-20-243200063"	"19"	"419"	"1"	"m"	"NEW4"	"NEW4_7"	"FMT1"	1	5	2.33333333333333
"17119-05-21-243200075"	"20"	"420"	"1"	"m"	"OLD4"	"OLD4_7"	"FMT2"	0	2	1.33333333333333
"17119-05-22-243200094"	"21"	"421"	"1"	"m"	"NEW4"	"NEW4_8"	"FMT1"	0	3	1.66666666666667
"17119-05-23-243200073"	"22"	"422"	"2"	"f"	"OLD4"	"OLD4_8"	"FMT2"	0	2	1.33333333333333
"17119-05-24-243200088"	"23"	"423"	"2"	"f"	"CON4"	"CON4_8"	"CON"	1	5	2.33333333333333
"17119-05-25-243200085"	"24"	"424"	"2"	"f"	"NEW4"	"NEW4_9"	"FMT1"	0	1	1
"17119-05-26-243200098"	"25"	"425"	"2"	"f"	"OLD4"	"OLD4_9"	"FMT2"	0	3	1.66666666666667
"17119-05-27-243200083"	"26"	"426"	"2"	"f"	"CON4"	"CON4_9"	"CON"	0	1	1
"17119-05-28-243200078"	"27"	"427"	"2"	"f"	"NEW4"	"NEW4_10"	"FMT1"	0	1	1
"17119D-05-29-243200065"	"28"	"428"	"2"	"f"	"OLD4"	"OLD4_13"	"FMT2"	0	1	1
"17119-05-30-243200082"	"29"	"429"	"2"	"f"	"CON4"	"CON4_10"	"CON"	0	1	1
"17119-05-31-243200080"	"30"	"430"	"2"	"f"	"NEW4"	"NEW4_11"	"FMT1"	0	2	1.33333333333333
"17119-05-32-243200092"	"31"	"431"	"2"	"f"	"OLD4"	"OLD4_10"	"FMT2"	0	1	1
"17119-05-33-243200064"	"32"	"432"	"2"	"f"	"CON4"	"CON4_11"	"CON"	1	6	4
"17119-05-34-243200097"	"33"	"433"	"2"	"f"	"NEW4"	"NEW4_12"	"FMT1"	0	3	1.66666666666667
"17119-05-35-243200067"	"34"	"434"	"2"	"m"	"OLD4"	"OLD4_11"	"FMT2"	0	2	1.33333333333333
"17119-05-36-243200079"	"36"	"436"	"2"	"m"	"NEW4"	"NEW4_13"	"FMT1"	0	2	1.33333333333333
"17119-05-37-243200074"	"37"	"437"	"2"	"m"	"OLD4"	"OLD4_12"	"FMT2"	0	1	1
"17119-05-38-243200077"	"38"	"438"	"2"	"m"	"CON4"	"CON4_12"	"CON"	0	1	1
"17119-05-40-243200090"	"new"	"new"	"DONOR1"	"new"	"NEW Donor"	"NEW_Donor"	"DONOR1"	0	0	0
"17119-05-39-243200084"	"old"	"old"	"DONOR2"	"old"	"OLD Donor"	"OLD_Donor"	"DONOR2"	0	0	0
